Province Code	Province Name	Major Commodity	Cumulative Oil (MMBO)	Remaining Oil (MMBO)	Known Oil (MMBO)	Cumulative Gas (BCFG)	Remaining Gas (BCFG)	Known Gas (BCFG)	Cumulative NGL (MMBNGL)	Remaining NGL (MMBNGL)	Known NGL (MMBNGL)	Total Cumulative Petroleum (MMBOE)	Total Remaining Petroleum (MMBOE)	Total Known Petroleum (MMBOE)	Mean Undiscovered Oil (MMBO)	Mean Undiscovered Gas (BCFG)	Mean Undiscovered NGL (MMBNGL)	Total Mean Undiscovered Petroleum (MMBOE)	Oil Endowment (MMBO)	Gas Endowment (BCFG)	NGL Endowment (MMBNGL)	Total Petroleum Endowment (MMBOE)	"Discovery Maturity, Oil (%)"	"Discovery Maturity, Gas (%)"	"Discovery Maturity, NGL (%)"	"Discovery Maturity, Total Petroleum (%)"	Future Oil (MMBO)	Future Gas (BCFG)	Future NGL (MMBNGL)	Total Future Petroleum (MMBOE)
6037	Pelotas Basin	Oil	0	0	0	0	0	0	0	0	0	0	0	0	2938	22806	1107	7846	2938	22806	1107	7846	0	0	0	0	2938	22806	1107	7846
6041	Putumayo-Oriente-Maranon Basin	Oil	2889	3712	6601	661	955	1616	0	0	0	2999	3871	6871	3098	1596	55	3418	9699	3212	55	10289	68	50	0	67	6810	2552	55	7290
6045	Santa Cruz-Tarija Basin	Oil	257	63	320	6928	10058	16985	243	305	548	1655	2045	3699	2145	31107	1300	8629	2466	48092	1847	12328	13	35	30	30	2209	41165	1604	10674
6055	Neuquen Basin	Oil	1532	838	2370	7636	13068	20704	79	260	338	2883	3276	6159	1290	12416	203	3562	3659	33119	542	9721	65	63	62	63	2128	25483	463	6838
6058	San Jorge Basin	Oil	2445	900	3346	1667	1898	3565	0	2	2	2723	1218	3942	498	3774	75	1203	3844	7339	77	5144	87	49	2	77	1398	5672	77	2421
6059	Magallanes Basin	Gas	595	620	1216	10053	14754	24807	88	123	211	2359	3202	5562	704	14040	310	3354	1920	38848	521	8915	63	64	41	62	1325	28794	433	6556
6060	Falklands Plateau	Oil	0	0	0	0	0	0	0	0	0	0	0	0	5833	16581	370	8967	5833	16581	370	8967	0	0	0	0	5833	16581	370	8967
6063	Malvinas Basin	Oil	0	10	10	0	75	75	0	2	2	0	25	25	1031	11327	362	3280	1041	11402	364	3305	1	1	1	1	1041	11402	364	3305
6081	Talara Basin	Oil	1346	326	1672	1951	941	2892	44	-44	0	1715	439	2154	1711	4795	255	2765	3383	7687	255	4919	49	38	0	44	2038	5736	211	3204
6083	Progreso Basin	Oil	122	53	175	148	350	498	0	0	0	147	111	258	237	695	33	385	412	1193	33	644	43	42	0	40	290	1044	33	497
6090	Middle Magdalena	Oil	1915	512	2426	2310	2692	5002	0	68	68	2300	1028	3328	709	3292	130	1388	3135	8294	198	4715	77	60	34	71	1220	5985	198	2416
6096	Llanos Basin	Oil	1179	4224	5402	139	15175	15314	0	451	451	1202	7203	8405	3631	6217	337	5004	9033	15651	788	13409	60	98	57	63	7855	21391	788	12207
